"Severity","ThreadID","Date","Time","Application","Message"
"INFO","http-nio-8888-exec-2","04/20/2021","11:52:28","OSGi","Start bundle: [org.lucee.saaj:1.4.0]"
"INFO","http-nio-8888-exec-2","04/20/2021","11:52:28","OSGi","add bundle:/opt/lucee/server/lucee-server/bundles/org.apache.commons.discovery-0.5.0.jar"
"INFO","http-nio-8888-exec-2","04/20/2021","11:52:28","OSGi","Start bundle: [org.apache.commons.discovery:0.5.0]"
"INFO","http-nio-8888-exec-2","04/20/2021","11:52:28","OSGi","add bundle:/opt/lucee/server/lucee-server/bundles/org.lucee.commons.httpclient-3.1.0.jar"
"INFO","http-nio-8888-exec-2","04/20/2021","11:52:28","OSGi","Start bundle: [org.lucee.commons.httpclient:3.1.0]"
"INFO","http-nio-8888-exec-2","04/20/2021","11:52:28","OSGi","add bundle:/opt/lucee/server/lucee-server/bundles/org.lucee.axis.ant-1.4.0.L0002.jar"
"INFO","http-nio-8888-exec-2","04/20/2021","11:52:28","OSGi","Start bundle: [org.lucee.axis.ant:1.4.0.L0002]"
"INFO","Thread-11","04/20/2021","11:52:29","lucee.runtime.engine.Controler","check size of directory [/opt/lucee/web/temp]; current size	[1890092];max size 	[1073741824]"
"INFO","Thread-11","04/20/2021","11:52:29","lucee.runtime.engine.Controler","check size of directory [/opt/lucee/web/cache]; current size	[0];max size 	[104857600]"
"INFO","http-nio-8888-exec-4","04/20/2021","11:53:19","OSGi","add bundle:/opt/lucee/server/lucee-server/bundles/jtds-1.3.1.jar"
"INFO","http-nio-8888-exec-4","04/20/2021","11:53:19","OSGi","Start bundle: [jtds:1.3.1]"
"INFO","http-nio-8888-exec-4","04/20/2021","11:53:19","OSGi","add bundle:/opt/lucee/server/lucee-server/bundles/mssqljdbc4-4.0.2206.100.jar"
"INFO","http-nio-8888-exec-4","04/20/2021","11:53:19","OSGi","Start bundle: [mssqljdbc4:4.0.2206.100]"
"INFO","http-nio-8888-exec-4","04/20/2021","11:53:19","OSGi","add bundle:/opt/lucee/server/lucee-server/bundles/com.mysql.cj-8.0.19.jar"
"INFO","http-nio-8888-exec-4","04/20/2021","11:53:19","OSGi","Start bundle: [com.mysql.cj:8.0.19]"
"INFO","http-nio-8888-exec-4","04/20/2021","11:53:19","OSGi","add bundle:/opt/lucee/server/lucee-server/bundles/org.postgresql.jdbc42-9.4.1212.jar"
"INFO","http-nio-8888-exec-4","04/20/2021","11:53:19","OSGi","Start bundle: [org.postgresql.jdbc42:9.4.1212]"
